story_id,url_id,story_ready_for_display,story_list_complete,story_date_to_review,story_media_series,story_alt_title,story_alt_description,orig_publ_year,orig_publ_month,orig_publ_day,Story Publication_Author,story_tv_season,story_tv_episode_number,story_tv_episode_sequence,story_tv_episode_title,story_tv_episode_air_date_year,story_tv_episode_air_date_month,story_tv_episode_air_date_day,story_note,story_recurring_event_number
20,70371,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,6,206,Real Deal BBQ,2007,11,5,Scraped info from FN's DDD website,
21,70372,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,3,203,Seaside Eats,2007,10,15,Scraped info from FN's DDD website,
22,70373,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,7,207,Talkin' Turkey,2007,11,10,Scraped info from FN's DDD website,
23,70374,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,5,205,Viewer's Choice,2007,10,29,Scraped info from FN's DDD website,
24,70375,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,9,209,Family Owned,2007,11,23,Scraped info from FN's DDD website,
25,70376,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,10,210,Open 24/7,2008,1,13,Scraped info from FN's DDD website,
26,70377,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,11,211,Off the Hook Specials,2008,1,20,Scraped info from FN's DDD website,
27,70378,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,12,212,"Burgers, Rings and Fries",2008,1,21,Scraped info from FN's DDD website,
28,70379,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,13,213,The New Jersey Diner Tour,2008,1,28,Scraped info from FN's DDD website,
29,70380,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,1,301,Big Breakfast,2008,3,10,Scraped info from FN's DDD website,
30,70381,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,2,302,Like Mama Made,2008,3,17,Scraped info from FN's DDD website,
31,70382,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,3,303,Regional Favorites,2008,3,24,Scraped info from FN's DDD website,
32,70383,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,4,304,Neighborhood Joints,2008,3,31,Scraped info from FN's DDD website,
33,70384,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,5,305,A World of Flavors,2008,4,7,Scraped info from FN's DDD website,
34,70385,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,6,306,Something Different,2008,4,14,Scraped info from FN's DDD website,
35,70386,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,9,309,The Memphis BBQ Tour,2008,5,26,Scraped info from FN's DDD website,
36,70387,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,8,308,Real Deal Fast Food,2008,5,19,Scraped info from FN's DDD website,
37,70388,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,7,307,American Classics,2008,5,18,Scraped info from FN's DDD website,
38,70389,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,10,310,Comfort Food,2008,6,15,Scraped info from FN's DDD website,
39,70390,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,11,311,Where the Locals Go,2008,6,23,Scraped info from FN's DDD website,
40,70391,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,12,312,All Kinds of BBQ,2008,6,30,Scraped info from FN's DDD website,
41,70392,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,3,13,313,In the Family,2008,7,7,Scraped info from FN's DDD website,
42,70393,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,1,401,Brain Freeze,2008,7,14,Scraped info from FN's DDD website,
43,70394,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,2,402,Diners You Sent Me To,2008,7,21,Scraped info from FN's DDD website,
44,70395,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,3,403,Bar Food,2008,7,28,Scraped info from FN's DDD website,
45,70396,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,4,404,Burgers and Dogs,2008,8,4,Scraped info from FN's DDD website,
46,70397,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,5,405,Where the Locals Eat,2008,8,11,Scraped info from FN's DDD website,
47,70398,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,6,406,Totally Unexpected,2008,8,18,Scraped info from FN's DDD website,
48,70399,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,7,407,A Taste of Everywhere,2008,9,15,Scraped info from FN's DDD website,
49,70400,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,8,408,Better Than Ever,2008,9,22,Scraped info from FN's DDD website,
50,70401,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,9,409,Big Flavor,2008,9,29,Scraped info from FN's DDD website,
51,70402,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,10,410,Cookin' It Old School,2008,10,6,Scraped info from FN's DDD website,
52,70403,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,11,411,Grabbin' a Sandwich,2008,10,13,Scraped info from FN's DDD website,
53,70404,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,12,412,Traditional Dishes,2008,11,3,Scraped info from FN's DDD website,
54,70405,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,4,13,413,Doin' Their Own Thing,2008,11,10,Scraped info from FN's DDD website,
55,70406,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,1,501,What's For Breakfast,2008,11,10,Scraped info from FN's DDD website,
56,70407,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,2,502,Real Deal Italian,2008,10,17,Scraped info from FN's DDD website,
57,70408,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,3,503,Not What You'd Expect,2008,11,24,Scraped info from FN's DDD website,
58,70409,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,4,504,Places You Sent Me,2008,12,1,Scraped info from FN's DDD website,
59,70410,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,5,505,Long Time Legends,2009,1,5,Scraped info from FN's DDD website,
60,70411,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,6,506,Something from Everywhere,2009,1,12,Scraped info from FN's DDD website,
61,70412,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,7,507,Neighborhood Favorites,2009,1,19,Scraped info from FN's DDD website,
62,70413,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,8,508,Just Like Yesterday,2009,1,26,Scraped info from FN's DDD website,
63,70414,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,9,509,Return to Route 66,2009,2,2,Scraped info from FN's DDD website,
64,70415,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,10,510,BBQ & More,2009,2,9,Scraped info from FN's DDD website,
65,70416,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,11,511,Regional Classics,2009,2,16,Scraped info from FN's DDD website,
66,70417,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,13,513,Family Favorites,2009,3,23,Scraped info from FN's DDD website,
67,70418,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,5,12,512,All Kinds of Fast Foods,2009,3,16,Scraped info from FN's DDD website,
68,70419,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,1,601,Funky Joints,2009,4,6,Scraped info from FN's DDD website,
69,70420,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,2,602,Their Own Way,2009,4,13,Scraped info from FN's DDD website,
70,70421,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,3,603,A Little Bit of Everywhere,2009,4,20,Scraped info from FN's DDD website,
71,70422,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,4,604,"A Burger, A Bowl and a Slice",2009,4,27,Scraped info from FN's DDD website,
72,70423,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,5,605,"Biscuits, Bagels and BLT's",2009,5,4,Scraped info from FN's DDD website,
73,70424,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,6,606,Who'Da Thunk It?,2009,5,11,Scraped info from FN's DDD website,
74,70425,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,7,607,Go-To Joints,2009,5,25,Scraped info from FN's DDD website,
75,70426,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,8,608,Homestyle,2009,6,1,Scraped info from FN's DDD website,
76,70427,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,9,609,All Kinds of Classics,2009,6,8,Scraped info from FN's DDD website,
77,70428,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,10,610,All Over the Map,2009,6,15,Scraped info from FN's DDD website,
78,70429,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,11,611,Old Time Favorites,2009,6,22,Scraped info from FN's DDD website,
79,70430,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,12,612,Comfort Cookin',2009,6,29,Scraped info from FN's DDD website,
80,70431,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,6,13,613,Mama's Cookin',2009,7,27,Scraped info from FN's DDD website,
81,70432,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,1,701,Upper Crust,2009,8,3,Scraped info from FN's DDD website,
82,70433,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,2,702,"Burgers, Tacos and Dogs",2009,8,10,Scraped info from FN's DDD website,
83,70434,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,3,703,Name That Cook,2009,8,17,Scraped info from FN's DDD website,
84,70435,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,4,704,Global Grub,2009,8,24,Scraped info from FN's DDD website,
85,70436,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,5,705,Only At This Joint,2009,8,31,Scraped info from FN's DDD website,
86,70437,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,6,706,You Picked 'Em,2009,9,7,Scraped info from FN's DDD website,
87,70438,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,7,707,You Can Say That Again,2009,10,5,Scraped info from FN's DDD website,
88,70439,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,8,708,"Barbequed, Baked, and Brined",2009,10,12,Scraped info from FN's DDD website,
89,70440,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,9,709,Blast From the Past,2009,10,19,Scraped info from FN's DDD website,
90,70441,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,10,710,Dives Worth a Drive,2009,10,26,Scraped info from FN's DDD website,
91,70442,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,11,711,Family Style,2009,11,2,Scraped info from FN's DDD website,
92,70443,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,12,712,Diners Times Three,,,,Scraped info from FN's DDD website,
93,70444,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,7,13,713,Legacies,2009,11,16,Scraped info from FN's DDD website,
94,70445,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,1,801,"Burgers, Steaks and Chops",2009,11,23,Scraped info from FN's DDD website,
95,70446,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,2,802,"PIZZA, PORK AND PAPRIKASH",2010,1,11,Scraped info from FN's DDD website,
96,70447,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,3,803,"Stacked, Stuffed and Loaded",2010,1,18,Scraped info from FN's DDD website,
97,70448,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,4,804,Triple D Goes Tailgatin',2010,1,25,Scraped info from FN's DDD website,
98,70449,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,5,805,Home And Away,2010,2,1,Scraped info from FN's DDD website,
99,70450,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,6,806,By Request,2010,2,8,Scraped info from FN's DDD website,
100,70451,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,7,807,And The Kicker Is...,2010,2,15,Scraped info from FN's DDD website,
101,70452,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,8,808,Comfort Food Classics,2010,2,22,Scraped info from FN's DDD website,
102,70453,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,9,809,Twists And Traditions,2010,3,22,Scraped info from FN's DDD website,
103,70454,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,10,810,Fresh And Funky,2010,3,29,Scraped info from FN's DDD website,
104,70455,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,11,811,Triple D Goes Hawaiian,2010,4,5,Scraped info from FN's DDD website,
105,70456,No,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,12,812,"Best of Diners, Drive-Ins & Dives",,,,Scraped info from FN's DDD website,
106,70457,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,13,813,Guy's Disney Holiday,,,,Scraped info from FN's DDD website,
107,70458,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,14,814,"Diners, Drive-Ins & Dives: A North Pole Christmas",,,,Scraped info from FN's DDD website,
108,70459,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,8,15,815,Diner's Drive-ins and Dives: Best from the Road,,,,Scraped info from FN's DDD website,
109,70460,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,1,901,Surf 'n Turf,2010,4,27,Scraped info from FN's DDD website,
110,70461,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,2,902,Homegrown And Homemade,2010,5,3,Scraped info from FN's DDD website,
111,70462,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,3,903,Globetrottin',2010,5,10,Scraped info from FN's DDD website,
112,70463,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,4,904,Bringin' It Home,2010,5,17,Scraped info from FN's DDD website,
113,70464,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,5,905,Porkapalooza,2010,5,24,Scraped info from FN's DDD website,
114,70465,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,6,906,"Grilled, Smoked And Sauced",2010,5,31,Scraped info from FN's DDD website,
115,70466,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,7,907,Comfort Food With Attitude,2010,6,7,Scraped info from FN's DDD website,
116,70467,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,8,908,Fast Food Their Way,2010,6,21,Scraped info from FN's DDD website,
117,70468,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,9,9,909,Farm To Table,2010,6,28,Scraped info from FN's DDD website,
